id,created_at,updated_at,is_deleted,assignee_id,lead_id,status_id,follow_date,remark,sale_status,temp_data,row_color,is_assigned
16,2024-05-08 09:25:05.644962+00,2024-05-08 09:25:05.644962+00,FALSE,47,38,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
15,2024-05-08 10:07:58.896529+00,2024-05-08 10:07:58.896529+00,FALSE,47,37,NULL,NULL,NULL,NULL,NULL,NULL,FALSE
19,2024-05-07 05:37:21.497858+00,2024-05-07 05:37:21.497858+00,FALSE,55,36,NULL,NULL,NULL,NULL,NULL,NULL,TRUE
17,2024-05-08 10:07:58.896501+00,2024-05-08 10:07:58.896501+00,FALSE,55,39,NULL,NULL,NULL,NULL,NULL,NULL,TRUE
20,2024-05-08 05:07:15.587168+00,2024-05-08 05:07:15.587168+00,FALSE,47,33,NULL,2024-05-08 05:07:15.587168+00,Nothing,Ongoing,NULL,FFFF00,TRUE
